,region,province,district,sub_district,province_eng,location,location_id
309,Central,ฉะเชิงเทรา,บางปะกง,ท่าสะอ้าน,Chachoengsao,Central/ฉะเชิงเทรา/บางปะกง/ท่าสะอ้าน/Chachoengsao,309
310,Bangkok,กรุงเทพมหานคร,พระนคร,บางขุนพรหม,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/พระนคร/บางขุนพรหม/Bangkok Metropolis,310
311,Central,ชลบุรี,บางละมุง,Not Sated,Chon buri,Central/ชลบุรี/บางละมุง/Not Sated/Chon buri,311
312,Bangkok,กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/จอมทอง/บางขุนเทียน/Bangkok Metropolis,312
313,Bangkok,กรุงเทพมหานคร,ดอนเมือง,สนามบิน,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ดอนเมือง/สนามบิน/Bangkok Metropolis,313
314,Bangkok,กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ปทุมวัน/ปทุมวัน/Bangkok Metropolis,314
315,Central,สมุทรปราการ,บางเสาธง,ศีรษะจรเข้น้อย,Samut Prakan,Central/สมุทรปราการ/บางเสาธง/ศีรษะจรเข้น้อย/Samut Prakan,315
316,Central,สมุทรปราการ,เมืองสมุทรปราการ,บางเมืองใหม่,Samut Prakan,Central/สมุทรปราการ/เมืองสมุทรปราการ/บางเมืองใหม่/Samut Prakan,316
317,Bangkok,กรุงเทพมหานคร,ราชเทวี,มักกะสัน,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ราชเทวี/มักกะสัน/Bangkok Metropolis,317
318,Bangkok,กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ลาดกระบัง/คลองสองต้นนุ่น/Bangkok Metropolis,318
319,Central,สมุทรสาคร,เมืองสมุทรสาคร,คอกกระบือ,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/คอกกระบือ/Samut Sakhon,319
320,Central,สมุทรสาคร,กระทุ่มแบน,คลองมะเดื่อ,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/คลองมะเดื่อ/Samut Sakhon,320
321,Central,สมุทรสาคร,เมืองสมุทรสาคร,นาดี,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/นาดี/Samut Sakhon,321
322,Bangkok,กรุงเทพมหานคร,บางบอน,บางบอน,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางบอน/บางบอน/Bangkok Metropolis,322
323,Central,สมุทรสาคร,เมืองสมุทรสาคร,มหาชัย,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/มหาชัย/Samut Sakhon,323
324,Central,สมุทรสาคร,เมืองสมุทรสาคร,บางน้ำจืด,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/บางน้ำจืด/Samut Sakhon,324
