,name_chain,chain_id
138,ไก่ทอง ออริจินัล ,138
139,ชามิจิ,139
140,Bread Talk (เบรด ทอล์ค),140
141,Duc de Praslin Belgium (ดุ๊ค เดอพราแลงเบลเยี่ยม),141
142,Haagen-Dazs (ฮาเก้น-ดาส),142
143,Godiva,143
144,กุ้งตระกร้าเศรษฐี,144
145,Muteki By Mugendai (มูเทกิ บาย มูเกนได),145
146,Wine Connection (ไวน์ คอนเน็คชั่น),146
147,ราชาลิง By HO-MU,147
148,Guu roti & Cafe (กูโรตี แอนด์ คาเฟ่),148
149,Torry's Ice cream,149
150,โอปป้า ไก่กรอบ ซอสเกาหลี,150
151,Moma’s Bubble Tea,151
152,Burger King (เบอร์เกอร์คิง),152
153,TOM N TOMS COFFEE (ทอมแอนท์ทอมส์คอมฟี่),153
154,Blue Elephant (บลู เอเลเฟ่นท์),154
155,กาแฟสดเด่นชัย,155
156,Mongni Cafe (หม่องนี่ คาเฟ่),156
157,นายช่างก๋วยเตี๋ยวเรืออยุธยา,157
158,Hong Bao (หงเปา),158
159,JINCHA  TAIWAN BUBBLE TEA,159
160,DEAN & DELUCA (ดีน แอนด์ เดลูก้า),160
161,Suay Restaurant,161
162,ไก่ทอดหาดใหญ่ไชน่า,162
163,Tiger Sugar (ไทเกอร์ชูกาส์),163
164,Urban Pizza,164
165,เจียงลูกชิ้นปลา,165
166,UOTERU SUISAN,166
167,Paknam Seafood (ปากน้ำซีฟู้ด),167
168,Gloria Jean's coffees (กลอเรีย จีนส์ คอฟฟี่),168
169,THE COFFEE CLUB (เดอะ คอฟฟี่ คลับ),169
170,สเต็กเด็กแนว,170
171,ถืกคิง อ๊อฟฟี่,171
172,ชาพะยอม,172
173,Kakashi By Oishi (คาคาชิ บาย โออิชิ),173
174,เอ้กอี๊เอ้กเอ้ก วาฟเฟิล,174
175,Ochaya (โอชายะ),175
176,Lifefarm Official ,176
177,Larb Nua (ลาบนัว),177
178,ลำพู,178
179,สเต็กลุงหนวด,179
180,ชาตรามือ,180
181,เรือนไทยซีฟู้ด,181
182,สวนร่มไม้,182
183,ชาลงกา,183
184,Hard Rock Cafe (ฮาร์ดร็อค คาเฟ่),184
185,El Gaucho Argentinian Steakhouse (เอลเกาโช่),185
186,Zaap Classic (แซ่บ คลาสสิค),186
187,ก๋วยเตี๋ยวข้างบ้าน,187
188,ไจแอ้นลูกชิ้นปลาระเบิดเถิดเทิง,188
189,Shong Cha,189
190,A-Roi-Jung TeRiYaKi (อร่อยจัง-เทอริยากิ),190
191,บ้านย่า สเต็ก เฮ้าส์,191
192,Seiki Sushi Bar (เซกิ ซูชิบาร์),192
193,Oom Oom Donut (ออม ออม โดนัท),193
194,Rabika Coffee (ราบิก้า คอฟฟี่),194
195,พรแหนมเนือง,195
196,Coffee World (คอฟฟี่ เวิลด์),196
197,เฉาก๊วยเต็งหนึ่ง,197
198,Hops Addict (ฮอปส์ แอดดิค),198
199,Waraporn Sarapao (วราภรณ์ซาลาเปา),199
200,DAIDOMON (ไดโดม่อน),200
201,เตาถ่านโคขุนโพนยางคำ,201
202,California Steak Restaurant,202
203,Choongman Chicken Thailand,203
204,Steak P'Mhee (สเต๊กพี่หมี),204
205,Mikka Café & Bakery,205
206,Ting Ting (ถิงถิง),206
207,CoCoICHIBANYA (โคโค่ อิฉิบันยะ),207
208,Sushi Mega (ซูชิ เมกะ),208
209,Krispy Kreme (คริสปี้ครีม),209
210,Sukiya (สุคิยะ),210
211,HOT POT  BUFFET (ฮอท พอท บุฟเฟต์),211
212,The Alley (ดิ แอร์ลี่),212
213,ชาบูบู๊ตึ๊ง,213
214,No. 43 Italian Bistro (นัมเบอร์ 43 อิตาเลียน บิสโตร),214
215,Au Bon Pain (โอ บอง แปง),215
216,โจ๊กบางกอก,216
217,The Bear Hokkaido Milk Tea,217
218,BLK Boba (แบลคโบบา),218
219,ทานนะ ซูชิ,219
220,VIP ส้มตำ Club (วีไอพี ส้มตำ คลับ),220
221,DAKASI (ดาคาซี่),221
222,บัวลอยปริญญา ลาวาไส้ทะลัก,222
223,panda18tea,223
224,My One Vietnam Food (มายวันอาหารเวียตนาม),224
225,เช็งซิมอี๊,225
226,La Baguette (ลา บาแกตต์),226
227,แม่ศรีเรือน,227
228,วีที แหนมเนือง,228
229,ชอบชา,229
230,Tuna Ichiban Japanese Restaurant (ทูน่า อิชิบัน เจแปนนิส เรสเทอร์รอง),230
231,Saab Inter (แซ่บอินเตอร์),231
232,MaruCha (มารุชา),232
233,Preecha Seafood (ปรีชาซีฟู้ด),233
234,Curry of the Caribbean,234
235,Jindo's Chicken,235
236,SWEET ESCAPE (สวีท เอสเคป),236
237,ก๋วยเตี๋ยวต้มยำสุโขทัย,237
238,Rosniyom Noodle (ก๋วยเตี๋ยวเรือรสนิยม),238
239,ลลลล ลำลำลับแล,239
240,Bikeparkcafe,240
241,Bake a wish Japanese Homemade Cake (เบค อะ วิช เจแปนนิส โฮมเมด เค้ก),241
242,Chacheese Tea bar (ชาชีสทีบาร์),242
243,Yunnan (ข้าวขาหมูยูนนาน),243
244,เล็กอาหารป่า,244
245,ไข่หวานบ้านซูซิ,245
246,ดอยคำ,246
247,Sushi Express (ซูชิ เอ็กซ์เพรส),247
248,Chounan (โชวนัน),248
249,ตำยำยั่ว by โบตั๋น ,249
250,ข้าวต้มปลา164,250
251,Miss Mamon (มิส มาม่อน),251
252,Giants Yakiniku (ไจแอนท์ ยากินิกุ),252
253,JIM's Burgers & Beers (จิมเบอร์เกอร์แอนด์เบียร์),253
254,Gai Gao Korean Restaurant (ไก่เกา),254
255,Sushiro (ซูชิโระ),255
256,Only Yum,256
257,ตี๋เล็ก ขนมจีบ ซาลาเปา,257
258,นินจาหม่าล่า,258
259,ปังอั้ยยะ ปังปิ้งไส้เยิ้ม,259
260,บ้านไร่กาแฟ,260
261,NOK IANG (นกเอี้ยง),261
262,GRAND COFFEE BOY (กาแฟแกรนด์คอฟฟี่บอย),262
263,สวนอาหารเพื่อน,263
264,วุ้นเป็ดธนัน,264
265,น้อยเบเกอรี่,265
266,19nineteen ชานมไข่มุก ,266
267,Sushi on Fire,267
268,Chafe (ชาเฟ่),268
269,Carl's Jr (คาร์ล จูเนียร์),269
270,Bangkok Grill (บางกอกกริลล์),270
271,All Coco (ออล โคโค),271
272,Weasel Coffee Thailand (วีเซล คอฟฟี่),272
273,วัวล้วนๆไม่มีควายผสม พลัส,273
274,แจ่วชาบู,274
275,maxbeef   Buffet,275
276,Washi,276
277,Liu Cha   (ลิ่วชา),277
278,Shong Cha Brown Sugar,278
279,Phoenix Lava,279
280,Kanomjeen Bangkok (ขนมจีนบางกอก),280
281,มุมอร่อย,281
282,Sqeeze By Tipco (สควีซ),282
283,The Glass House (เดอะ กลาส เฮ้าส์),283
284,เลือดหมูคุณศรี,284
285,Icing Me (ไอซิ่งมี),285
286,เสวย,286
287,Arno's Group,287
288,วุ้นกบไต้หวัน,288
289,A&W (เอแอนด์ดับบลิว),289
290,Yum Saap (ยำแซ่บ),290
291,Teddy's Bigger Burgers (เทดดี้ส์ บิ๊กเกอร์ เบอร์เกอร์),291
292,Original Handmade Cake,292
293,KINKAO (กินข้าว),293
294,Grillicious by Beirut,294
295,NARA Thai Cuisine (นารา ไทย คูซีน),295
296,ปั้นคำหอม  ขนมไทยและเบเกอรี่,296
297,Mihimihi,297
298,ป้อน,298
299,มะ ละ กอ,299
300,Segafredo Zanetti Espresso (เซกาเฟรโด ซาเนตติ เอสเปรสโซ่),300
301,Hollys Coffee (ฮอลลี่คอฟฟี่),301
302,Hawker Chan (ฮอกเกอร์ ชาน),302
303,Misoya Ramen (ราเมง มิโซยะ),303
304,Fin Shabu (ฟินชาบู),304
305,ทงคัตสึคะซังราเมน,305
306,Hongkong Noodle (ฮ่องกงนู้ดเดิ้ล),306
307,Hokkaido Baked Cheese Tart Thailand,307
308,Subway (ซับเวย์),308
309,BlueSpice (บลูสไปซ์),309
310,The Bibimbab (เดอะ บิบิมบับ),310
311,Shakariki 432 (ชาคาริคิ 432),311
312,Uni lover,312
313,Joom Zap Hut (จุ่มแซบฮัท),313
314,Fin Sushi (ฟิน ซูชิ),314
315,HopfAddict,315
316,Secret Recipe (ซีเคร็ท เรซิพี),316
317,TOOK LAE DEE (ฟู้ดแลนด์ ถูกและดี),317
318,โตเกียว เทปันยากิ,318
319,Tamnanthai Restaurant (ตำนานไทย),319
320,ขนมบ้าบิ่น คุณเศวต,320
321,Ippudo (อิปปุโดะ),321
322,The Cream & Fudge Factory,322
323,Teraoka Gyoza (เทราโอกะ เกี๊ยวซ่า),323
324,Benihana (เบนิฮานา),324
325,Domino's Pizza (โดมิโน่พิซซ่า),325
326,Mezzo (เมซโซ่),326
327,Kudsan Bakery & Coffee (คัดสรร ),327
328,Boat Bakery (โบ๊ต เบเกอรี่),328
329,เจ๊เตี้ยราดหน้ากระทุ่มแบน,329
330,เจ๊เกียง โจ๊กกองปราบ,330
331,อร่อยดี,331
332,หนึ่งราดหน้ายอดผัก,332
333,Sushi Hana (ซูชิฮานะ),333
334,ราดหน้ายอดผักนายเคี้ยงเอ็มไพร์,334
335,ปังสยาม พ.ศ.๒๕๑๕,335
336,หมูยอ ป.อุบล /ก๋วยจั๊บญวน by ป.อุบล ,336
337,Nami,337
338,หนุ่ม & รัตน์ หมูทอด ซ.ประมวล,338
339,Gateaux House (กาโตว์ เฮ้าส์),339
