url,name,roomType,roomStyle,roomSize,monthlyRent,dailyRent,roomContract,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,apartment_url
https://www.renthub.in.th/เดวาวิลล์-อพาร์ทเม้นท์-ใกล้สี่แยกแอร์พอร์ท-ม-ฟาร์อีสเทริ์น,เดวาวิลล์ อพาร์ทเม้นท์ ใกล้สี่แยกแอร์พอร์ท  ม.ฟาร์อีสเทริ์น,ห้องสตูดิโอ,1 ห้องนอน,23.0,"4,500 - 6,000 บาท",-,,4500.0,6000.0,,,
https://www.renthub.in.th/มายเฮ้าส์-แม่โจ้,มายเฮ้าส์ @ แม่โจ้,ห้องแอร์,1 ห้องนอน,25.0,"3,500 บาท",490 บาท,,3500.0,3500.0,490.0,490.0,
https://www.renthub.in.th/เอ็มวาย-อพาร์ทเม้นท์,เอ็มวาย อพาร์ทเม้นท์,ห้องแอร์,1 ห้องนอน,25.0,"3,400 บาท",490 บาท,,3400.0,3400.0,490.0,490.0,
https://www.renthub.in.th/หอพักทิพย์อนงค์,หอพักทิพย์อนงค์,ห้องพัก,สตูดิโอ,18.0,"1,900 - 2,100 บาท",-,,1900.0,2100.0,,,
https://www.renthub.in.th/หอพักหวานแหวว,หอพักหวานแหวว,ห้องเดี่ยว,สตูดิโอ,21.0,"2,100 - 2,300 บาท",-,,2100.0,2300.0,,,
https://www.renthub.in.th/w-living,W.living,สตูดิโอ,สตูดิโอ,33.0,"7,000 - 12,000 บาท",700 บาท,,7000.0,12000.0,700.0,700.0,
https://www.renthub.in.th/w-living,W.living,สตูดิโอ,สตูดิโอ,45.0,"8,000 - 12,000 บาท",-,,8000.0,12000.0,,,
https://www.renthub.in.th/w-living,W.living,สตูดิโอ,2 ห้องนอน,85.0,"12,000 บาท",-,,12000.0,12000.0,,,
https://www.renthub.in.th/เคพีแมนชั่น-เชียงใหม่,เคพีแมนชั่น เชียงใหม่,ห้องพัดลม,1 ห้องนอน,32.0,"3,200 - 3,400 บาท",-,,3200.0,3400.0,,,
https://www.renthub.in.th/เคพีแมนชั่น-เชียงใหม่,เคพีแมนชั่น เชียงใหม่,ห้องแอร์,สตูดิโอ,32.0,"3,700 - 4,100 บาท",600 - 700 บาท,,3700.0,4100.0,600.0,700.0,
